Customer ID,Age,Income,Education,Occupation,Income,Average Balance,Appraisal,Industri,Pelunasan Kredit
1234561427,2,3,5,2,3,4,5,4,1
1234561518,1,4,3,3,5,1,3,1,0
1234561282,3,1,3,5,2,4,4,1,1
1234561064,5,1,3,1,3,2,4,1,0
1234561043,4,1,5,3,1,1,2,2,1
1234561619,2,5,3,5,3,2,3,5,1
1234561804,4,5,2,3,4,2,4,4,0
1234561147,3,1,4,4,3,2,3,1,0
1234561638,3,2,5,3,1,5,1,5,1
1234561376,5,2,1,5,1,5,2,5,0
1234561737,2,1,2,5,5,2,1,1,0
1234561453,4,2,4,3,1,5,3,1,1
1234561992,2,1,4,5,3,2,4,1,0
1234561134,1,5,3,2,2,1,2,4,0
1234561520,2,2,2,3,3,5,5,4,1
1234561486,2,2,2,2,2,3,1,3,1
1234561038,2,3,4,3,3,5,1,5,1
1234561784,5,2,2,3,1,4,2,4,0
1234561458,3,5,4,4,4,3,1,1,1
1234561307,1,1,2,1,3,2,5,4,0
1234561091,5,4,5,5,1,3,5,1,1
1234561248,3,3,5,2,1,4,1,5,0
1234561581,3,5,2,1,5,3,4,1,0
1234561287,2,5,5,2,1,2,3,2,0
1234561729,2,1,2,4,1,1,4,1,1
1234561660,5,4,2,2,4,5,1,4,0
1234561977,4,2,1,5,1,2,2,1,0
1234561291,5,2,2,1,3,5,1,5,0
1234561579,4,1,2,3,5,1,5,4,1
1234561253,1,4,5,1,3,2,1,3,0
1234561748,1,1,4,5,3,1,2,4,0
1234561305,3,2,2,5,4,5,1,2,0
1234561218,5,1,5,3,2,4,5,4,1
1234561971,5,1,5,1,5,1,5,3,0
1234561128,2,2,1,3,5,2,2,4,0
1234561499,4,4,5,2,4,1,5,3,0
1234561502,1,5,1,4,3,3,2,3,1
1234561860,2,1,2,3,4,1,3,2,1
1234561211,3,2,2,4,5,5,1,4,1
1234561782,5,5,1,5,2,4,5,2,0
1234561485,1,2,2,3,3,1,1,5,1
1234561489,1,2,4,1,1,2,1,2,1
1234561196,2,1,4,1,4,3,3,3,0
1234561497,5,3,3,4,4,2,4,1,0
1234561921,2,5,3,3,2,5,1,3,0
1234561112,5,2,1,1,4,5,1,2,0
1234561142,5,1,2,5,4,4,3,5,0
